Metagenome	Run	Habitat
Aquatic	SRR1781844	Aquatic
Aquatic	SRR1781915	Aquatic
Aquatic	SRR1781945	Aquatic
Aquatic	SRR1781979	Aquatic
Aquatic	SRR1781980	Aquatic
Aquatic	SRR1781981	Aquatic
Aquatic	SRR1781982	Aquatic
Aquatic	SRR1782574	Aquatic
Aquatic	SRR1782575	Aquatic
Aquatic	SRR1782576	Aquatic
Aquatic	SRR1782577	Aquatic
Aquatic	SRR1782579	Aquatic
Aquatic	SRR1782602	Aquatic
Aquatic	SRR1782604	Aquatic
Aquatic	SRR1784299	Aquatic
Aquatic	SRR1784304	Aquatic
Aquatic	SRR1784305	Aquatic
Aquatic	SRR1785207	Aquatic
Aquatic	SRR1785209	Aquatic
Aquatic	SRR1785350	Aquatic
Aquatic	SRR1785351	Aquatic
Aquatic	SRR1785352	Aquatic
Aquatic	SRR2005823	Aquatic
Aquatic	SRR2005825	Aquatic
Aquatic	SRR2005843	Aquatic
Aquatic	SRR2005847	Aquatic
Aquatic	SRR2005848	Aquatic
Aquatic	SRR2005849	Aquatic
Aquatic	SRR2005851	Aquatic
Aquatic	SRR2005852	Aquatic
Aquatic	SRR2005854	Aquatic
Aquatic	SRR2005856	Aquatic
Aquatic	SRR2005857	Aquatic
Aquatic	SRR2005861	Aquatic
Aquatic	SRR2041156	Aquatic
Aquatic	SRR2971124	Aquatic
Aquatic	SRR2971130	Aquatic
Aquatic	SRR2971404	Aquatic
Aquatic	SRR2976262	Aquatic
Aquatic	SRR2976265	Aquatic
Aquatic	SRR2976267	Aquatic
Aquatic	SRR3218034	Aquatic
Aquatic	SRR3218116	Aquatic
Aquatic	SRR3218234	Aquatic
Aquatic	SRR3218378	Aquatic
Aquatic	SRR3219820	Aquatic
Aquatic	SRR3219836	Aquatic
Aquatic	SRR3221669	Aquatic
Aquatic	SRR3221672	Aquatic
Aquatic	SRR3232031	Aquatic
Aquatic	SRR3232040	Aquatic
Aquatic	SRR3232044	Aquatic
Aquatic	SRR3232047	Aquatic
